Country,city,name,Facility,Ownership,Lat,Long
Somalia,Awdal,Aasha Caddo Health Post,Health Post,MoHL,11.1744,43.4392
Somalia,Awdal,Ali Xaydh Health Post,Health Post,MoHL,10.4488,43.2521
Somalia,Awdal,Ara-Weine Health Post,Health Post,MoHL,10.2844,43.4194
Somalia,Awdal,Baki Maternal & Child Health Centre,Maternal & Child Health Centre,NGO,10.0099,43.3653
Somalia,Awdal,Boon Maternal & Child Health Centre,Maternal & Child Health Centre,NGO,10.1851,43.0841
Somalia,Awdal,Borama Central Maternal & Child Health Centre,Maternal & Child Health Centre,MoHL,9.9387,43.1839
Somalia,Awdal,Borama Regional Hospital,Regional Hospital,MoHL,10.292,43.69
Somalia,Awdal,Borama Save Our Souls (SOS) Maternal & Child Health Centre,Maternal & Child Health Centre,NGO,10.2957,43.0509
Somalia,Awdal,Cabdil Qaaddir Maternal & Child Health Centre,Maternal & Child Health Centre,MoHL,10.5118,42.8913
Somalia,Awdal,Cadaad Health Post,Health Post,MoHL,10.0777,43.2665
Somalia,Awdal,Cali-Haidh Health Post,Health Post,,9.1155,45.395
Somalia,Awdal,Central Borama Maternal & Child Health Centre,Maternal & Child Health Centre,MoHL/NGO,9.929,43.1833
Somalia,Awdal,Dila Maternal & Child Health Centre,Maternal & Child Health Centre,,9.78,43.35
Somalia,Awdal,Dilla Maternal & Child Health Centre,Maternal & Child Health Centre,NGO,9.7794,43.3445
Somalia,Awdal,Fadhi-Xun Health Post,Health Post,MoHL,10.2925,43.2947
Somalia,Awdal,Farda-Lagu Xidh Health Post,Health Post,MoHL,10.4092,43.4497
Somalia,Awdal,Fiqi Adan Maternal & Child Health Centre,Maternal & Child Health Centre,MoHL,10.3696,43.1922
Somalia,Awdal,Garbodadar Maternal & Child Health Centre,Maternal & Child Health Centre,MoHL/NGO,10.2384,43.6269
Somalia,Awdal,Gargaara Maternal & Child Health Centre,Maternal & Child Health Centre,MoHL,10.313,43.8059
Somalia,Awdal,Gariso Maternal & Child Health Centre,Maternal & Child Health Centre,NGO,10.62,43.46
Somalia,Awdal,Goraya Cowl Health Post,Health Post,MoHL,9.8679,43.2269
Somalia,Awdal,Gorgab Maternal & Child Health Centre,Maternal & Child Health Centre,MoHL/NGO,9.9289,43.1833
Somalia,Awdal,Hariirad Maternal & Child Health Centre,Maternal & Child Health Centre,MoHL,10.3783,42.8726
Somalia,Awdal,Hego Health Post,Health Post,MoHL,10.0774,43.2679
Somalia,Awdal,Idhan Maternal & Child Health Centre,Maternal & Child Health Centre,MoHL,9.6926,43.3021
Somalia,Awdal,Jarahorato Health Post,Health Post,MoHL,9.8439,43.3302
Somalia,Awdal,Jidhi Maternal & Child Health Centre,Maternal & Child Health Centre,MoHL,10.5926,43.048
Somalia,Awdal,Kalawle Health Post,Health Post,MoHL,10.5515,43.8527
Somalia,Awdal,Karure Health Post,Health Post,MoHL,10.7506,43.5888
Somalia,Awdal,Lowyo-Ado Maternal & Child Health Centre,Maternal & Child Health Centre,MoHL,11.3546,43.4728
Somalia,Awdal,Lughayo Maternal & Child Health Centre,Maternal & Child Health Centre,NGO,10.6825,43.9432
Somalia,Awdal,Magala-Qaloc Health Post,Health Post,MoHL,9.7321,43.2903
Somalia,Awdal,Old Baki Health Post,Health Post,MoHL,9.9522,43.37
Somalia,Awdal,Qoor-Gaab Maternal & Child Health Centre,Maternal & Child Health Centre,MoHL,10.1833,43.4
Somalia,Awdal,Quli-Jeed Maternal & Child Health Centre,Maternal & Child Health Centre,MoHL,9.8166,43.3116
Somalia,Awdal,Ruqi Health Post,Health Post,MoHL,9.9703,43.4283
Somalia,Awdal,Sabowanaag Health Post,Health Post,MoHL,10.5296,44.1314
Somalia,Awdal,Sheed Dheer Health Post,Health Post,MoHL,10.3018,43.5234
Somalia,Awdal,Sheikh Ali Jawhar Maternal & Child Health Centre,Maternal & Child Health Centre,MoHL,9.9465,43.1868
Somalia,Awdal,Sheikh Cisman Maternal & Child Health Centre,Maternal & Child Health Centre,MoHL,9.929,43.1833
Somalia,Awdal,Tokhoshi Health Post,Health Post,MoHL,11.3445,43.4106
Somalia,Awdal,Tulli Health Post,Health Post,MoHL,9.8166,43.3116
Somalia,Awdal,Waalago Maternal & Child Health Centre,Maternal & Child Health Centre,MoHL,9.8514,43.2776
Somalia,Awdal,Walaalgo Health Post,Health Post,MoHL,9.8693,43.2627
Somalia,Awdal,Waraqadhigta Health Post,Health Post,MoHL,10.1834,43.6207
Somalia,Awdal,Weraar Health Post,Health Post,MoHL,9.7361,43.1775
Somalia,Awdal,Xamarta Health Post,Health Post,MoHL,10.06,43.36
Somalia,Awdal,Xoorrey Health Post,Health Post,,10.1801,43.3678
Somalia,Awdal,Zeylac Maternal & Child Health Centre,Maternal & Child Health Centre,MoHL/NGO,11.3546,43.4728
Somalia,Bakool,Abal Health Post,Health Post,NGO,3.9939,43.9417
Somalia,Bakool,Abaq Beeday Health Post,Health Post,NGO,4.1211,44.0366
Somalia,Bakool,Abaq Dhere Health Post,Health Post,NGO,3.9863,44.3614
Somalia,Bakool,Abeesale Health Post,Health Post,NGO,4.9053,44.5206
Somalia,Bakool,Aleemow Health Post,Health Post,NGO,3.9782,43.2676
Somalia,Bakool,Arshamo Health Post,Health Post,NGO,4.0538,43.3556
Somalia,Bakool,Ato Health Post,Health Post,NGO,4.6207,43.3498
Somalia,Bakool,Baadikeen Health Post,Health Post,,4.7894,44.6033
Somalia,Bakool,Bakaar Yare Health Post,Health Post,NGO,3.6466,43.4677
Somalia,Bakool,Bana Health Post,Health Post,NGO,4.0013,43.941
Somalia,Bakool,Banjaneey Health Post,Health Post,NGO,4.2349,43.9295
Somalia,Bakool,Ban-Soofe Health Post,Health Post,NGO,4.0537,43.1016
Somalia,Bakool,Biyoley Health Post,Health Post,MoHL,3.9359,44.4214
Somalia,Bakool,Boodaan Health Post,Health Post,NGO,4.144,43.2497
Somalia,Bakool,Burdho Health Post,Health Post,NGO,4.1735,44.6972
Somalia,Bakool,Buulo Eyle Health Post,Health Post,NGO,3.6761,43.3988
Somalia,Bakool,Buulo Jadiid1 Health Post,Health Post,NGO,3.8726,44.3354
Somalia,Bakool,Buur Basle Health Post,Health Post,NGO,4.0661,43.1377
Somalia,Bakool,Buur Dhuxunle Maternal & Child Health Centre,Maternal & Child Health Centre,NGO,4.0552,43.2471
Somalia,Bakool,Buur-Cadey Health Post,Health Post,NGO,4.0775,43.3465
Somalia,Bakool,Ceel Barde Health Post,Health Post,NGO,4.8231,43.6679
Somalia,Bakool,Ceel Barde Maternal & Child Health Centre,Maternal & Child Health Centre,NGO,4.8282,43.6599
Somalia,Bakool,Ceel Gudo Health Post,Health Post,NGO,4.1083,44.3561
Somalia,Bakool,Ceel-Jeedow Health Post,Health Post,NGO,3.9639,43.1912
Somalia,Bakool,Dhanawe Health Post,Health Post,NGO,3.9708,44.6414
Somalia,Bakool,Dheemo / Bulo Dhowdhow Health Post,Health Post,NGO,3.8155,44.5186
Somalia,Bakool,Dhurey Health Post,Health Post,NGO,3.6548,43.3299
Somalia,Bakool,Dhuurey Health Post,Health Post,NGO,4.2621,42.9185
Somalia,Bakool,Doonful Health Post,Health Post,NGO,4.1837,43.9948
Somalia,Bakool,Doygaab Health Post,Health Post,NGO,3.9837,44.1367
Somalia,Bakool,Dudumble Health Post,Health Post,NGO,4.1312,44.0877
Somalia,Bakool,Eedkiyaal Health Post,Health Post,NGO,4.0033,44.0157
Somalia,Bakool,El Garas Health Post,Health Post,NGO,4.1514,44.2133
Somalia,Bakool,El Haawey Health Post,Health Post,NGO,4.0275,44.4435
Somalia,Bakool,El-Magad Health Post,Health Post,NGO,4.9189,44.3959
Somalia,Bakool,Garas Maamow Health Post,Health Post,NGO,3.7247,43.2653
Somalia,Bakool,Garas Weyne Health Post,Health Post,NGO,4.2544,43.4941
Somalia,Bakool,Garsaaley Health Post,Health Post,NGO,3.9964,43.2312
Somalia,Bakool,Gomor Sangar Health Post,Health Post,NGO,4.0344,43.1382
Somalia,Bakool,Goobato Health Post,Health Post,NGO,4.0237,43.1648
Somalia,Bakool,Hubudhi Health Post,Health Post,NGO,3.8628,44.5114
Somalia,Bakool,Hudur Imc Maternal & Child Health Centre,Maternal & Child Health Centre,NGO,4.1162,43.891
Somalia,Bakool,Hugey Health Post,Health Post,NGO,3.8732,44.479
Somalia,Bakool,Imilow Health Post,Health Post,NGO,4.2728,43.2206
Somalia,Bakool,Korkoor Health Post,Health Post,NGO,3.6412,43.5866
Somalia,Bakool,Korkor Health Post,Health Post,NGO,3.9589,44.0891
Somalia,Bakool,Kulunjerer Health Post,Health Post,NGO,3.903,43.5869
Somalia,Bakool,Madaa Health Post,Health Post,NGO,3.9552,44.7238
Somalia,Bakool,Mad-Foodey Health Post,Health Post,NGO,3.8136,43.3099
Somalia,Bakool,Misir Health Post,Health Post,NGO,3.9782,44.597
Somalia,Bakool,Moro Gabey Health Post,Health Post,NGO,4.1898,43.6435
Somalia,Bakool,Oorar Health Post,Health Post,NGO,3.8828,44.3458
Somalia,Bakool,Oor-Gaafin Health Post,Health Post,NGO,3.8945,43.431
Somalia,Bakool,Qurac-Joome Health Post,Health Post,NGO,4.9447,44.302
Somalia,Bakool,Quracle Health Post,Health Post,NGO,4.3159,43.0715
Somalia,Bakool,Rabdhure Maternal & Child Health Centre,Maternal & Child Health Centre,NGO,4.3472,43.1549
Somalia,Bakool,Sarmaan Health Post,Health Post,NGO,3.9565,44.0043
Somalia,Bakool,Shiimi Health Post,Health Post,NGO,4.0594,44.5388
Somalia,Bakool,Tiyeglow Maternal & Child Health Centre,Maternal & Child Health Centre,NGO,4.0182,44.5128
Somalia,Bakool,Towsiiley Hadame Health Post,Health Post,NGO,4.0161,43.356
Somalia,Bakool,Waab Giraad Health Post,Health Post,NGO,4.1157,43.2605
Somalia,Bakool,Waajid Maternal & Child Health Centre,Maternal & Child Health Centre,NGO,3.8093,43.2471
Somalia,Bakool,War Gubey Health Post,Health Post,NGO,4.1003,43.1017
